model_id,cell_name,id,lengthscale,period_length,outputscale,w,noise_prob,Train Model ELPD,Train Mean Model ELPD,Train Pseudo-R2,Test Model ELPD,Test Mean Model ELPD,Test Pseudo-R2
ON_0,ON,0,0.7320443566944435,290.7122675069185,4.606016161630405,0.7689031411990318,0.01,-1072.9996987355903,-1133.8941640527548,0.0537038351970309,-276.2303801404072,-300.6700832725546,0.0812841200100146
ON_1,ON,1,0.7406504521370169,289.7678184334089,5.607834127427016,0.7795664658546233,0.01,-1018.8598272884826,-1146.3629699599142,0.111224059056871,-252.2147627787017,-261.94919878334474,0.0371615414357281
ON_2,ON,2,0.7442705903951135,290.0092496335744,6.764927129491226,0.698849756007022,0.01,-1315.0333483021222,-1365.5570083153848,0.0369985725279905,-290.3613629216265,-305.7680993205056,0.0503869973130512
ON_3,ON,3,0.721765422425855,298.802854144235,1.141226427945372,0.7431374960186428,0.01,-621.4272166016456,-642.321655039967,0.0325295562968702,-149.27349164321674,-151.33535459596018,0.0136244630889342
ON_4,ON,4,0.7244990577255316,293.38132144383974,8.32662107809848,0.3047336962874272,0.01,-975.930449912002,-1207.2859141171805,0.1916327039849175,-275.2970601172112,-290.03169382026124,0.050803529465926
ON_5,ON,5,0.7442377287067765,295.88929280380364,4.348018797251067,0.4483147155929301,0.01,-915.856375067444,-1114.256206470274,0.1780558459093697,-282.3275439873109,-266.2986649453201,-0.0601913608740096
ON_6,ON,6,0.7210770838456964,287.7397314966257,12.198109524564828,0.7165101046678258,0.01,-920.4098060320576,-1132.9742973013072,0.1876163402608236,-269.5856700657548,-325.6762615220882,0.1722280622916362
ON_7,ON,7,0.7341411497004706,289.8692648095381,99.4408858182501,0.8480587442302653,0.01,-1171.1036227143668,-1687.5560678876775,0.3060357252720835,-294.44450212156664,-455.3505251720978,0.3533673821716082
ON_8,ON,8,0.7060208360555883,288.61953239056567,24.066045477358976,0.1898926470777586,0.01,-909.1926495631157,-1198.1244627521387,0.2411534211774088,-268.3629603204144,-356.3803775471741,0.2469760479871224
ON_9,ON,9,0.7050609986136848,286.2372288395506,13.749906951324832,0.3524653585421233,0.01,-1162.6894044245505,-1191.3667875379397,0.0240709942675618,-302.5735456109553,-312.1771591845516,0.0307633447580926
ON_10,ON,10,0.7368583076469604,294.7657560310798,0.2340669510937844,0.8346274128745411,0.01,-906.8567220900824,-909.6797028523924,0.0031032689346133,-244.0341273899995,-247.31092645682665,0.013249714089762
ON_11,ON,11,0.7169395450545416,293.11863230120605,23.98987730565174,0.2797829084562795,0.01,-1083.041797901612,-1279.8758508727096,0.1537915203547925,-274.56717831021444,-304.05757368326726,0.0969895109528584
ON_12,ON,12,0.7444397066982229,296.93966837723366,0.2831251668669858,0.2330567289686163,0.01,-85.12484568716617,-84.89840339888013,-0.0026672149206639,-40.60657826311004,-39.70308153606446,-0.0227563375962362
ON_13,ON,13,0.7394225861357914,286.54080870480726,2.3656853956753987,0.5134949954304324,0.01,-993.376731594326,-1042.4625195388055,0.0470863815479865,-233.6192518807084,-243.7536644776288,0.0415764522705278
ON_14,ON,14,0.7100795064700948,289.11800837225684,28.343122844366395,0.731907701029572,0.01,-992.3593419593836,-1201.9657950727703,0.1743863710370364,-241.63868129938567,-269.0774748910715,0.1019735806677746
ON_15,ON,15,0.6650325630974611,288.71420364887655,95.40253005314008,0.8138297691439622,0.01,-1262.368155082594,-1303.007576496751,0.0311889371537036,-311.4497456481453,-324.93782346936564,0.0415097192355384
ON_16,ON,16,0.7182425356804986,288.696023783558,21.940470299281927,0.950217431950368,0.01,-896.3699825850633,-938.4409630285596,0.0448307161568519,-223.0260851989343,-229.29621704661923,0.0273451168468693
ON_17,ON,17,0.7353245098420156,293.76936475190263,1.4057604839679916,0.8092204321351185,0.01,-665.6303921049323,-689.0938079552724,0.0340496686800341,-206.36125605979564,-207.56488353560133,0.0057988011040376
ON_18,ON,18,0.7461429519704812,289.6846163128154,22.324129738173177,0.8799674031593885,0.01,-1000.5033730301092,-1135.3390236863804,0.1187624558332079,-235.89231487733556,-261.3611457355772,0.0974468901510282
ON_19,ON,19,0.7208410259767735,288.21054059541365,31.5046724402154,0.833262900300332,0.01,-1070.425753869128,-1258.9980733116818,0.1497796727730734,-286.530521841191,-304.8139067420434,0.0599821218666548
ON_20,ON,20,0.719855273341088,311.48798202192864,18.41492937949508,0.9184088086241042,0.01,-1219.8293130434606,-1246.4973790054269,0.0213944019547354,-373.6650466810884,-373.2947899904093,-0.0009918613937487
ON_21,ON,21,0.7442460894311383,290.52616066233884,0.0004641149487468,0.4509244203160064,0.01,-378.365839947072,-374.86731571733264,-0.0093327000862817,-80.14265487835702,-78.67111288383313,-0.018704985102941
ON_22,ON,22,0.7358743096854562,301.6304860050269,0.3493405222307648,0.8787731558066619,0.01,-1006.7202833398732,-1011.9946255140104,0.0052118282460819,-263.75071680216104,-264.2203666739005,0.0017774930738746
ON_23,ON,23,0.7360136288932033,290.70411617991755,2.4661534297394776,0.5236616952810587,0.01,-1037.6080630471777,-1070.5276422246511,0.0307507979047265,-248.47907582039835,-249.4571859435553,0.0039209538881682
ON_24,ON,24,0.7346304633635427,400.76287761330974,0.045239264311466,0.1520723271607754,0.01,-721.2649807179757,-733.1850769066912,0.0162579634585667,-206.8569731471925,-212.01673104587056,0.0243365600121518
OFF_0,OFF,0,0.7383973288350627,292.42572278209883,1.9535768748759312,0.6913686507873122,0.01,-192.66134508683623,-219.48119791870928,0.1221965848838061,-59.280061636588144,-57.19682002146949,-0.0364223328208925
OFF_1,OFF,1,0.7299573208380058,304.18421703841267,4.850559498559453,0.8171549025800088,0.01,-626.5679106372747,-735.0549102056481,0.1475903338133224,-248.23950866848992,-247.2495206175645,-0.0040040039246695
OFF_2,OFF,2,0.7481571621474306,290.2820733570659,10.915222506687185,0.7650357343903746,0.01,-249.16723929021043,-341.6210690941973,0.2706326926764988,-41.96400610666856,-58.25979592756316,0.2797090096428734
OFF_3,OFF,3,0.7437808639030692,297.0258649067304,0.0646938046610612,-0.011170744701664,0.01,-537.4931913243107,-558.9722831905588,0.0384260409901676,-152.70582098870867,-157.7769258396266,0.0321409789418287
OFF_4,OFF,4,0.6977924978906482,285.76433967160386,7.364276150605025,0.2368223365030705,0.01,-798.3425148574323,-1004.2061953969574,0.2050014045752308,-226.6298020262668,-291.91544689492014,0.2236457356508235
OFF_5,OFF,5,0.7450909192785694,290.0989002157443,7.610221496591791,0.6647768472793222,0.01,-299.33135480524675,-393.34924315051023,0.2390188616920477,-71.72510269807881,-91.65394620469228,0.2174357387962985
OFF_6,OFF,6,0.7262854511359241,291.146219504568,2.8105163981333328,0.5051914831945606,0.01,-809.09503535929,-910.7606023240633,0.1116271023420916,-200.6832031913186,-234.75730347488,0.1451460711943619
OFF_7,OFF,7,0.7366653556002511,293.6804715558171,6.290311904458193,0.8751312017786427,0.01,-1247.0560460594434,-1270.7932823357285,0.0186790696852409,-330.71637049120545,-337.4918734984626,0.0200760478675289
OFF_8,OFF,8,0.7219552065531544,296.03381402620687,0.1813007220314227,-1.1545339976663236,0.01,-634.6075309916745,-708.3123760955663,0.1040569776715965,-159.72870574769038,-179.25751663139613,0.108942772669681
OFF_9,OFF,9,0.7360018856807157,286.64557689410776,0.2463175575325306,0.5332843423321494,0.01,-828.8786395753659,-848.2416192936503,0.0228271983805844,-198.3063768510043,-202.87530505595063,0.0225208691796485
OFF_10,OFF,10,0.7420350917611497,291.7466641910618,1.2637635976463262,0.3562079192557361,0.01,-296.1307032314775,-328.9680753699014,0.0998193277615177,-61.55827943659365,-70.44695837112833,0.1261754820940229
OFF_11,OFF,11,0.7171885596866062,290.1365129958282,15.111275704136911,0.8563339684764635,0.01,-829.9492841429799,-906.5585141963986,0.0845055546373942,-194.6910314996146,-198.3980895712689,0.0186849484269991
OFF_12,OFF,12,0.731428140264157,285.60839919349826,5.564786887768899,0.7500298914395886,0.01,-385.3736565787066,-456.9856582037274,0.1567051401711509,-132.21690398875313,-157.0978920303465,0.1583788790545141
OFF_13,OFF,13,0.7443699379830637,304.2172654354025,0.0002680561465151,0.71823122867791,0.01,-1196.8692757340136,-1196.9685287962393,8.292036075963072e-05,-293.65292061420104,-293.7060417060782,0.000180864825145
OFF_14,OFF,14,0.7402448815246347,305.62825731093875,0.0420814653123955,-0.2506313499554586,0.01,-741.2710806991021,-749.9064775129145,0.0115152983375367,-185.69086010516943,-186.96355520265905,0.0068071828015362
OFF_15,OFF,15,0.7321156468102203,295.92056589700314,7.011429409517966,0.8983613287163458,0.01,-968.025600692018,-1016.7278708376516,0.0479009885954136,-192.70434690720268,-207.21179332145857,0.0700126483233014
OFF_16,OFF,16,0.7349847388524667,262.17679129094887,0.143829881910142,0.3973738859829955,0.01,-907.2655856574096,-913.8853746595277,0.0072435659719188,-249.99519761559804,-240.91321715174627,-0.0376981411448722
OFF_17,OFF,17,0.7440665332296423,308.4481788885434,0.004584728792907,-0.2434431077677219,0.01,-716.5112577191298,-717.2032075987004,0.0009647891591105,-187.70357207708776,-186.2658103367449,-0.0077188708853415
OFF_18,OFF,18,0.7436500006985673,302.7814103793212,0.0190531682629319,0.2866969315751239,0.01,-817.5942913293823,-818.4936651774858,0.0010988158935946,-243.2680468531284,-236.61256598722508,-0.0281281800826362
OFF_19,OFF,19,0.7584336209828832,347.8099992688638,3.9032556882199336,0.674286680259207,0.01,-1177.4587196775735,-1233.3919493269937,0.0453491119995881,-381.7430331124987,-366.0041793929334,-0.0430018415245156
OFF_20,OFF,20,0.7215677378551979,400.76824966843645,1.1897771502517336,0.4164324589227047,0.01,-738.9342529800288,-807.1528280173958,0.084517544471636,-221.7805247502765,-201.46481105038947,-0.1008400106895379
OFF_21,OFF,21,0.7141020385428949,309.179158499769,0.7981352202658036,0.4050214011560057,0.01,-885.5291968989436,-899.1261030757844,0.0151223572870675,-211.92333558414293,-225.4101507065729,0.0598323326618345
OFF_22,OFF,22,0.7476746821018017,309.16576200164474,0.0550427808344621,0.4125722713851636,0.01,-662.2879282607612,-668.631080189817,0.0094867739729583,-159.99167505713066,-149.55612219232404,-0.0697768350224197
OFF_23,OFF,23,0.7460137219637402,351.6852472976215,0.4675347590382899,0.4326812023135679,0.01,-689.9978066356575,-727.8813529860179,0.0520463207292631,-209.4565981980968,-187.05001469028883,-0.1197892635555684
OFF_24,OFF,24,0.7444088022657361,295.6412246858328,2.2773677804357807e-06,-0.9853649359086176,0.01,-635.0312199069483,-634.3639414390892,-0.0010518858722412,-161.101749734063,-160.84267306795726,-0.0016107458373082
NEUTRAL_0,NEUTRAL,0,0.724534833167347,325.9994647184349,0.0398530755163254,-2.042869743518872,0.01,-293.34545229227734,-317.80712705677905,0.0769701894071476,-159.5920461008946,-146.9931956087267,-0.0857104333298808
NEUTRAL_1,NEUTRAL,1,0.7432842121575662,268.039763665329,0.1308200831822323,-0.0093149347179606,0.01,-520.0879698332659,-524.0536763418838,0.0075673670229741,-220.9408929148462,-220.4754892688914,-0.0021109087794659
NEUTRAL_2,NEUTRAL,2,0.7437423304170779,295.0241378375332,0.0620842217161478,-1.8338801402525968,0.01,-307.8598821972424,-348.3028727235033,0.1161144328498436,-143.5176543499985,-162.1245187595135,0.1147689723422735
NEUTRAL_3,NEUTRAL,3,0.7364114718606223,309.4051853449031,0.1376660071549878,-0.7190007848416804,0.01,-366.0968028454768,-397.2416768836755,0.0784028359826878,-172.2195283255464,-187.3659523546455,0.0808387214365926
NEUTRAL_4,NEUTRAL,4,0.7360302897969029,390.46648351124657,0.0843172232974583,-0.7994930364529818,0.01,-407.4556220354668,-427.6501669215224,0.0472221138867495,-188.7644331859169,-190.8246287584666,0.0107962771155568
