model_id,cell_name,id,lengthscale,period_length,outputscale,w,noise_prob,Train Model ELPD,Train Mean Model ELPD,Train Pseudo-R2,Test Model ELPD,Test Mean Model ELPD,Test Pseudo-R2
ON_0,ON,0,0.7320443566944435,290.7122675069185,4.606016161630405,0.7689031411990318,0.010000000000000002,-1072.9996987355905,-1133.8941640527548,0.053703835197030925,-276.2303801404072,-300.6700832725546,0.08128412001001462
ON_1,ON,1,0.7406504521370169,289.7678184334089,5.607834127427016,0.7795664658546233,0.010000000000000002,-1018.8598272884826,-1146.3629699599142,0.11122405905687105,-252.2147627787017,-261.94919878334474,0.03716154143572814
ON_2,ON,2,0.7442705903951135,290.00924963357437,6.764927129491226,0.698849756007022,0.010000000000000002,-1315.0333483021222,-1365.5570083153848,0.03699857252799055,-290.3613629216265,-305.7680993205056,0.050386997313051296
ON_3,ON,3,0.721765422425855,298.802854144235,1.141226427945372,0.7431374960186428,0.010000000000000002,-621.4272166016456,-642.321655039967,0.032529556296870266,-149.27349164321674,-151.33535459596018,0.01362446308893428
ON_4,ON,4,0.7244990577255316,293.38132144383974,8.32662107809848,0.3047336962874272,0.010000000000000002,-975.9304499120021,-1207.2859141171803,0.1916327039849175,-275.2970601172112,-290.03169382026124,0.050803529465926034
ON_5,ON,5,0.7442377287067765,295.88929280380364,4.348018797251067,0.4483147155929301,0.010000000000000002,-915.856375067444,-1114.256206470274,0.17805584590936974,-282.3275439873109,-266.2986649453201,-0.06019136087400967
ON_6,ON,6,0.7210770838456964,287.7397314966257,12.198109524564828,0.7165101046678258,0.010000000000000002,-920.4098060320575,-1132.9742973013072,0.18761634026082363,-269.5856700657548,-325.6762615220882,0.17222806229163623
ON_7,ON,7,0.7341411497004706,289.8692648095381,99.4408858182501,0.8480587442302653,0.010000000000000002,-1171.1036227143668,-1687.5560678876777,0.30603572527208356,-294.44450212156664,-455.35052517209783,0.35336738217160824
ON_8,ON,8,0.7060208360555883,288.61953239056567,24.066045477358976,0.18989264707775866,0.010000000000000002,-909.1926495631155,-1198.1244627521387,0.2411534211774088,-268.3629603204144,-356.3803775471741,0.24697604798712247
ON_9,ON,9,0.7050609986136848,286.2372288395506,13.749906951324832,0.35246535854212335,0.010000000000000002,-1162.6894044245503,-1191.3667875379397,0.024070994267561874,-302.5735456109553,-312.1771591845516,0.030763344758092614
ON_10,ON,10,0.7368583076469604,294.7657560310798,0.23406695109378445,0.8346274128745411,0.010000000000000002,-906.8567220900823,-909.6797028523923,0.0031032689346133235,-244.0341273899995,-247.31092645682662,0.013249714089762055
ON_11,ON,11,0.7169395450545416,293.11863230120605,23.98987730565174,0.2797829084562795,0.010000000000000002,-1083.041797901612,-1279.8758508727096,0.1537915203547925,-274.56717831021444,-304.05757368326726,0.09698951095285846
ON_12,ON,12,0.7444397066982229,296.93966837723366,0.2831251668669858,0.2330567289686163,0.010000000000000002,-85.12484568716617,-84.89840339888013,-0.0026672149206639073,-40.60657826311004,-39.70308153606446,-0.022756337596236298
ON_13,ON,13,0.7394225861357914,286.54080870480726,2.3656853956753987,0.5134949954304324,0.010000000000000002,-993.376731594326,-1042.4625195388055,0.0470863815479865,-233.6192518807084,-243.75366447762877,0.041576452270527864
ON_14,ON,14,0.7100795064700948,289.11800837225684,28.343122844366395,0.731907701029572,0.010000000000000002,-992.3593419593836,-1201.9657950727703,0.17438637103703647,-241.63868129938572,-269.0774748910715,0.10197358066777462
ON_15,ON,15,0.6650325630974611,288.71420364887655,95.40253005314007,0.8138297691439622,0.010000000000000002,-1262.368155082594,-1303.007576496751,0.031188937153703633,-311.4497456481453,-324.93782346936564,0.04150971923553848
ON_16,ON,16,0.7182425356804986,288.69602378355796,21.940470299281927,0.9502174319503679,0.010000000000000002,-896.3699825850633,-938.4409630285595,0.04483071615685197,-223.0260851989343,-229.29621704661923,0.027345116846869355
ON_17,ON,17,0.7353245098420156,293.76936475190263,1.4057604839679916,0.8092204321351185,0.010000000000000002,-665.6303921049323,-689.0938079552724,0.03404966868003412,-206.36125605979564,-207.56488353560133,0.005798801104037632
ON_18,ON,18,0.7461429519704812,289.6846163128154,22.324129738173177,0.8799674031593885,0.010000000000000002,-1000.5033730301092,-1135.3390236863804,0.11876245583320799,-235.89231487733554,-261.3611457355772,0.09744689015102825
ON_19,ON,19,0.7208410259767735,288.21054059541365,31.504672440215398,0.833262900300332,0.010000000000000002,-1070.4257538691281,-1258.9980733116818,0.14977967277307347,-286.530521841191,-304.8139067420434,0.05998212186665486
ON_20,ON,20,0.719855273341088,311.48798202192864,18.41492937949508,0.9184088086241042,0.010000000000000002,-1219.8293130434606,-1246.4973790054269,0.02139440195473541,-373.66504668108837,-373.2947899904093,-0.0009918613937487386
ON_21,ON,21,0.7442460894311383,290.52616066233884,0.00046411494874686737,0.45092442031600644,0.010000000000000002,-378.365839947072,-374.86731571733264,-0.009332700086281731,-80.14265487835702,-78.67111288383313,-0.018704985102941052
ON_22,ON,22,0.7358743096854562,301.6304860050269,0.34934052223076484,0.8787731558066619,0.010000000000000002,-1006.7202833398733,-1011.9946255140103,0.0052118282460819065,-263.75071680216104,-264.2203666739005,0.0017774930738746475
ON_23,ON,23,0.7360136288932033,290.70411617991755,2.4661534297394776,0.5236616952810587,0.010000000000000002,-1037.6080630471777,-1070.5276422246513,0.030750797904726568,-248.47907582039835,-249.45718594355526,0.003920953888168266
ON_24,ON,24,0.7346304633635427,400.76287761330974,0.045239264311466,0.15207232716077546,0.010000000000000002,-721.2649807179757,-733.1850769066912,0.016257963458566782,-206.8569731471925,-212.01673104587059,0.024336560012151898
OFF_0,OFF,0,0.7383973288350627,292.42572278209883,1.9535768748759312,0.6913686507873122,0.010000000000000002,-192.66134508683626,-219.48119791870928,0.12219658488380614,-59.280061636588144,-57.19682002146949,-0.03642233282089258
OFF_1,OFF,1,0.7299573208380058,304.18421703841267,4.850559498559453,0.8171549025800088,0.010000000000000002,-626.5679106372747,-735.0549102056481,0.14759033381332243,-248.23950866848992,-247.2495206175645,-0.004004003924669597
OFF_2,OFF,2,0.7481571621474306,290.2820733570659,10.915222506687185,0.7650357343903746,0.010000000000000002,-249.16723929021043,-341.6210690941973,0.2706326926764988,-41.96400610666856,-58.25979592756316,0.2797090096428734
OFF_3,OFF,3,0.7437808639030692,297.02586490673036,0.06469380466106121,-0.011170744701664015,0.010000000000000002,-537.4931913243107,-558.9722831905588,0.038426040990167665,-152.70582098870867,-157.77692583962659,0.03214097894182877
OFF_4,OFF,4,0.6977924978906482,285.76433967160386,7.364276150605025,0.2368223365030705,0.010000000000000002,-798.3425148574323,-1004.2061953969574,0.20500140457523086,-226.62980202626682,-291.91544689492014,0.22364573565082357
OFF_5,OFF,5,0.7450909192785694,290.0989002157443,7.610221496591791,0.6647768472793222,0.010000000000000002,-299.33135480524675,-393.34924315051023,0.23901886169204778,-71.72510269807881,-91.65394620469228,0.21743573879629852
